Date,Open,High,Low,Close,Volume,SMAVG (15)
2013-06-20 11:30,160.82,161.37,160.64,161.19,21977936,22653448
2013-06-20 10:30,161.03,161.3006,160.48,160.8199,32633792,22062772
2013-06-20 9:30,161.86,162.1,160.92,161.03,55659028,20924386
2013-06-19 15:30,164.65,164.69,163.38,163.54,33543216,18970774
2013-06-19 14:30,165.29,165.68,163.83,164.65,53316268,18313842
2013-06-19 13:30,165.51,165.89,164.73,165.29,34952112,15748202
2013-06-19 12:30,165.47,165.6,165.37,165.51,7421102,13794696
2013-06-19 11:30,165.5501,165.72,165.33,165.47,9250330,13906276
2013-06-19 10:30,165.68,165.78,165.45,165.571,12813898,14128459
2013-06-19 9:30,165.6,165.83,165.23,165.68,18137818,14960720
2013-06-18 15:30,165.92,165.94,165.5,165.67,20524520,15112868
2013-06-18 14:30,165.8,165.99,165.64,165.92,11776961,14565316
2013-06-18 13:30,165.55,165.93,165.42,165.7901,9499436,14804539
2013-06-18 12:30,165.38,165.78,165.38,165.55,8073505,15045684
2013-06-18 11:30,165.51,165.69,165.29,165.38,10221787,15463777
2013-06-18 10:30,165.05,165.52,165.0399,165.51,13117800,16002628
2013-06-18 9:30,164.53,165.12,164.52,165.05,15558012,16494597
2013-06-17 15:30,164.07,164.65,164.01,164.49,26354844,17740124
2013-06-17 14:30,164.21,164.38,163.55,164.06,23689228,16911012
2013-06-17 13:30,164.969,165.1,164.05,164.2,14831670,16094952
2013-06-17 12:30,164.75,165.04,164.72,164.96,5649528,15869363
2013-06-17 11:30,164.96,165.02,164.73,164.75,9094799,16135560
2013-06-17 10:30,164.89,165.22,164.74,164.96,12583086,16646383
2013-06-17 9:30,164.29,164.99,164.29,164.89,25297808,18093206
2013-06-14 15:30,163.47,163.58,163.03,163.16,20420036,18163746
2013-06-14 14:30,163.51,163.73,163.13,163.47,12311241,18315512
2013-06-14 13:30,163.03,163.63,162.91,163.51,15365305,18428884
2013-06-14 12:30,163.6399,163.83,162.96,163.03,13116614,18534346
2013-06-14 11:30,163.79,163.915,163.31,163.635,14344901,19194330
2013-06-14 10:30,164.16,164.28,163.38,163.7999,18304544,19627334
2013-06-14 9:30,164.03,164.67,163.89,164.15,20497338,20171806
2013-06-13 15:30,163.88,164.5,163.71,164.21,34240924,20371632
2013-06-13 14:30,163.4,163.95,163.27,163.88,13918161,19134294
2013-06-13 13:30,162.92,163.51,162.7,163.39,11448318,19549072
2013-06-13 12:30,162.449,163.07,162.43,162.92,11447846,19544606
2013-06-13 11:30,162.38,162.57,162.15,162.44,9642477,19744552
2013-06-13 10:30,162.019,162.43,161.99,162.38,16757151,20366840
2013-06-13 9:30,161.66,162.23,161.3,162.02,34285416,21483818
2013-06-12 15:30,161.945,162.1,161.68,161.75,26355916,19925002
2013-06-12 14:30,162.055,162.175,161.6,161.94,22696518,18730548
